"Type","Month","RespCorrectedWeight_GrCO2_KGr_Year.length","RespCorrectedWeight_GrCO2_KGr_Year.mean","RespCorrectedWeight_GrCO2_KGr_Year.sd","se"
"4_25_AA_2",4,29,3.31046846346325,4.14339213188205,0.769408603129973
"4_25_AA_4",4,29,7.8609274106051,5.08683422558577,0.944601401770751
"4_25_FS_1",4,31,1.01946773497835,1.06188685902608,0.190720510033642
"4_25_FS_2",4,32,7.22280802446161,12.6019978492954,2.22773953393377
"4_25_FS_4",4,33,18.4062211581697,35.1832044902005,6.12460976666408
"7_1_AA_1",7,47,6.23740641962445,4.27436594967458,0.623480352908172
"7_1_AA_2",7,33,3.36568896779797,2.36824014411196,0.412257693027193
"7_1_AA_4",7,30,3.86700305454581,2.65661927586044,0.485030101363934
"7_1_FS_1",7,47,6.63871603697276,5.17260941305353,0.754502628056983
"7_1_FS_2",7,36,19.7053833578795,13.4402180000367,2.24003633333946
"7_1_FS_4",7,37,2.10324564282631,2.61912721470144,0.430581861720817
"7_10_AA_1",7,33,4.36287470451876,1.95311816265523,0.339994231559523
"7_10_AA_2",7,32,4.96184252381108,4.83516332713255,0.854744194189984
"7_10_AA_4",7,31,12.9277725026302,5.52682266032705,0.992646653156463
"7_10_FS_1",7,55,11.8085355335845,5.39341921906913,0.727248499140602
"7_10_FS_2",7,59,20.8216878287717,10.7891793061941,1.40463150425025
"7_10_FS_4",7,43,21.7035687923044,11.289515432787,1.72163496324789
"7_25_AA_1",7,40,41.8117822604815,53.7905833426462,8.50503800159377
"7_25_AA_2",7,39,41.7768054853891,44.6319109516505,7.14682550148085
"7_25_AA_4",7,42,58.2229256869111,41.000846721107,6.32656800034906
"7_25_FS_1",7,35,15.9467636252355,14.977220792518,2.53161237536101
"7_25_FS_2",7,47,44.6939759810999,23.6154762766683,3.44467124631496
"7_25_FS_4",7,38,65.7002335807816,66.5756915417851,10.8000032946717
