"","V1","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot2","Loc...50","T3K","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume"
"16",16,68,123,"25-P1S5C4AA",20.8,20.1,18.9,20.8,99.6,900.9,446.72,90,454.18,50.41403041,NA,25,1,5,4,"AA",6942.936584,31763.72362,68,"87_123_4_27",1.184615385,0.99037311,4,27,16,31,123,0,0.88821,2022-04-27,"16:31:00",2020-04-27 22:16:31,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.070563601,0.000898444,0.000196382
"17",17,69,124,"25-P1S5C1FS",28.1,24.6,26.2,22.6,100.4,2083.3,1260.38,100,822.92,39.50079201,NA,25,1,5,1,"FS",9016.970181,50798.32249,69,"88_124_4_27",0.195604396,1,4,27,16,33,124,0,0.88821,2022-04-27,"16:33:00",2020-04-27 22:16:33,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.011651504,0.000148352,2.63e-05
"18",19,55,131,"10-P1S5C2FS",10.5,9.9,10.3,10.5,40,274.2,200.61,100,73.59,26.8380744,NA,10,1,5,2,"FS",1461.001708,3333.020366,55,"49_131_4_27",1.526141295,0.998967892,4,27,10,30,131,0,0.88445978,2022-04-27,"10:30:00",2020-04-27 22:10:30,"1_5",55694,4,6,8.875,9.75,2619,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.9,11.661397,0.48255823,0.000330293,0.000144781
"19",20,56,129,"10-P1S5C4AA",10.5,9.5,9.8,9.8,39.5,267,142.09,85,124.91,46.78277154,NA,10,1,5,4,"AA",1382.4932,3040.689934,56,"50_129_4_27",0.337935967,0.971245316,4,27,10,32,129,0,0.88445978,2022-04-27,"10:32:00",2020-04-27 22:10:32,"1_5",55690,4,5.9375,10.25,13,2626,202,0,94206488,13,"TMS-94206488",1,5,"1_5",287.15,11.661397,0.109352446,7.91e-05,3.6e-05
"20",21,57,127,"10-P1S5C1AA",14,13.4,13.3,12.9,39.9,561,351.36,100,209.64,37.36898396,NA,10,1,5,1,"AA",1961.924966,5627.881281,57,"51_127_4_27",0.341260198,0.976306096,4,27,10,34,127,0,0.88445978,2022-04-27,"10:34:00",2020-04-27 22:10:34,"1_5",55690,4,5.9375,10.25,13,2626,202,0,94206488,13,"TMS-94206488",1,5,"1_5",287.15,11.661397,0.077287149,3.94e-05,1.37e-05
"21",22,58,132,"10-P1S5C4FS",10.8,10,10.4,9.8,40,302.6,127.39,90,175.21,57.90152016,NA,10,1,5,4,"FS",1453.129177,3300.871401,58,"52_132_4_27",0.869913975,0.999368969,4,27,10,36,132,0,0.88455847,2022-04-27,"10:36:00",2020-04-27 22:10:36,"1_5",55690,4,5.9375,10.25,13,2626,202,0,94206488,13,"TMS-94206488",1,5,"1_5",287.15,11.661397,0.273029481,0.000187891,8.27e-05
"22",23,59,130,"10-P1S5C1FS",10.7,9.7,11.9,10.9,39.1,375.6,250.65,100,124.95,33.26677316,NA,10,1,5,1,"FS",1510.571103,3585.590802,59,"53_130_4_27",1.220754499,0.990458936,4,27,10,37,130,0,0.88455847,2022-04-27,"10:37:00",2020-04-27 22:10:37,"1_5",55690,4,5.9375,10.25,13,2626,202,0,94206488,13,"TMS-94206488",1,5,"1_5",287.15,11.661397,0.370095562,0.000245004,0.000103217
"23",24,60,586,"01-P1S5C2FS-S",1,1,1.1,1.2,29,NA,6.515,99.5,-6.515,NA,NA,1,1,5,2,"FS",236.6925047,62.83250757,60,"54_586+595_4_27",0.170723555,0.982459888,4,27,10,40,586,595,0.88455847,2022-04-27,"10:40:00",2020-04-27 22:10:40,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.306706,0.008082872,3.41e-05,0.000128642
"24",25,61,587,"01-P1S5C2AA-W",1,1,1.3,1.4,35.2,NA,6.57,99.5,-6.57,NA,NA,1,1,5,2,"AA",273.3157397,85.30628332,61,"55_587+582_4_27",0,1,4,27,10,42,587,582,0.88455847,2022-04-27,"10:42:00",2020-04-27 22:10:42,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.306706,0.001412247,5.17e-06,1.66e-05
"25",26,62,592,"01-P1S5C1FS-F",0.9,0.8,1.1,1.2,43.6,NA,5.225,99.5,-5.225,NA,NA,1,1,5,1,"FS",270.2292091,67.12405403,62,"56_592+584_4_27",0.127731976,0.912201907,4,27,10,45,592,584,0.88455847,2022-04-27,"10:45:00",2020-04-27 22:10:45,"1_5",55695,4,6,8.6875,9.5625,2619,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.7125,1.306706,0.006015959,2.23e-05,8.96e-05
"26",27,63,589,"01-P1S5C4AA-F",1.3,1,1.4,1.2,38,NA,6.03,99.5,-6.03,NA,NA,1,1,5,4,"AA",289.4539459,84.95416314,63,"57_589+583_4_27",0.070743101,0.930542788,4,27,10,47,589,583,0.88455847,2022-04-27,"10:47:00",2020-04-27 22:10:47,"1_5",55691,4,6,9.9375,12.75,2620,202,0,94206488,13,"TMS-94206488",1,5,"1_5",286.9,1.306706,0.003247469,1.12e-05,3.82e-05
"27",28,64,205,"01-P1S5C1AA-F",1.2,1.2,1,1.1,35,8.315,5.635,98,2.68,32.19479922,NA,1,1,5,1,"AA",279.9757943,79.68558136,64,"58_205+204_4_27",0.07673236,0.911460069,4,27,10,51,205,204,0.88455847,2022-04-27,"10:51:00",2020-04-27 22:10:51,"1_5",55691,4,6,9.9375,12.75,2620,202,0,94206488,13,"TMS-94206488",1,5,"1_5",286.9,1.306706,0.003537596,1.26e-05,4.44e-05
"28",29,65,599,"01-P1S5C4FS-W",1,1,1.7,1.6,42.5,NA,7.74,39.5,-7.74,NA,NA,1,1,5,4,"FS",335.9932483,113.4385256,65,"59_599+800_4_27",0.30854597,0.995614329,4,27,10,53,599,800,0.88465716,2022-04-27,"10:53:00",2020-04-27 22:10:53,"1_5",55700,4,6.125,8.25,9.4375,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.5875,1.306706,0.01399676,4.17e-05,0.000123386
"29",30,117,586,"01-P1S5C2FS-S",1,1,1.1,1.2,29,NA,6.515,99.5,-6.515,NA,NA,1,1,5,2,"FS",236.6925047,62.83250757,117,"108_586+595_4_27",0.13887995,0.976492724,4,27,13,13,586,595,0.88455847,2022-04-27,"13:13:00",2020-04-27 22:13:13,"1_5",55700,4,6.125,8.25,9.4375,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.5875,1.306706,0.006566549,2.77e-05,0.000104509
"30",31,118,582,"01-P1S5C2AA-F",1.2,1.2,1.6,1.4,32.6,NA,6.57,99.5,-6.57,NA,NA,1,1,5,2,"AA",273.3157397,85.30628332,118,"109_582+587_4_27",0.138292143,0.98049008,4,27,13,16,582,587,0.88465716,2022-04-27,"13:16:00",2020-04-27 22:13:16,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.306706,0.006408621,2.34e-05,7.51e-05
"31",32,119,584,"01-P1S5C1FS-S",0.9,0.9,1.1,1.1,41.4,NA,5.225,99.5,-5.225,NA,NA,1,1,5,1,"FS",270.2292091,67.12405403,119,"110_584+592_4_27",0.238845368,0.986467325,4,27,13,17,584,592,0.88465716,2022-04-27,"13:17:00",2020-04-27 22:13:17,"1_5",55701,4,6.125,8.375,10.125,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.275,1.306706,0.011228205,4.16e-05,0.000167275
"32",33,120,583,"01-P1S5C4AA-S",1.3,1.3,1,1,38.4,NA,6.03,99.5,-6.03,NA,NA,1,1,5,4,"AA",289.4539459,84.95416314,120,"111_583+589_4_27",0.094162102,0.931502356,4,27,13,19,583,589,0.88465716,2022-04-27,"13:19:00",2020-04-27 22:13:19,"1_5",55701,4,6.125,8.375,10.125,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.275,1.306706,0.004362922,1.51e-05,5.14e-05
"33",34,121,204,"01-P1S5C1AA-S",1.4,1.2,1,1.1,41.2,8.315,5.635,98,2.68,32.19479922,NA,1,1,5,1,"AA",279.9757943,79.68558136,121,"112_204+205_4_27",0.11301827,0.959935434,4,27,13,21,204,205,0.88465716,2022-04-27,"13:21:00",2020-04-27 22:13:21,"1_5",55701,4,6.125,8.375,10.125,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.275,1.306706,0.005259188,1.88e-05,6.6e-05
"34",35,122,596,"01-P1S5C2FS-W",1.1,1.1,1.1,1.2,40,NA,7.99,72,-7.99,NA,NA,1,1,5,2,"FS",299.5142126,93.42887112,122,"113_596+800_4_27",0.231814493,0.993448341,4,27,13,23,596,800,0.88475585,2022-04-27,"13:23:00",2020-04-27 22:13:23,"1_5",55701,4,6.125,8.375,10.125,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.275,1.306706,0.010667614,3.56e-05,0.000114179
"35",36,123,132,"10-P1S5C4FS",10.8,10,10.4,9.8,40,302.6,127.39,90,175.21,57.90152016,NA,10,1,5,4,"FS",1453.129177,3300.871401,123,"114_132_4_27",0.805890341,0.996628383,4,27,13,26,132,0,0.88465716,2022-04-27,"13:26:00",2020-04-27 22:13:26,"1_5",55701,4,6.125,8.375,10.125,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.275,11.661397,0.255521701,0.000175842,7.74e-05
"36",37,124,130,"10-P1S5C1FS",10.7,9.7,11.9,10.9,39.1,375.6,250.65,100,124.95,33.26677316,NA,10,1,5,1,"FS",1510.571103,3585.590802,124,"115_130_4_27",1.340660394,0.950608249,4,27,13,27,130,0,0.88475585,2022-04-27,"13:27:00",2020-04-27 22:13:27,"1_5",55701,4,6.125,8.375,10.125,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.275,11.661397,0.41064957,0.000271851,0.000114528
"37",38,125,128,"10-P1S5C2AA",13.5,13.3,13.8,12.9,39.7,389.5,305.89,95,83.61,21.46598203,NA,10,1,5,2,"AA",1949.148478,5577.871118,125,"116_128_4_27",1.522058824,0.987728977,4,27,13,30,128,0,0.88475585,2022-04-27,"13:30:00",2020-04-27 22:13:30,"1_5",55702,4,6.125,8.5,10.5625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.7125,11.661397,0.350659521,0.000179904,6.29e-05
"38",39,126,128,"10-P1S5C2AA",13.5,13.3,13.8,12.9,39.7,389.5,305.89,95,83.61,21.46598203,NA,10,1,5,2,"AA",1949.148478,5577.871118,126,"0_128_4_27",0,0.652979496,4,27,13,31,128,0,0.88475585,2022-04-27,"13:31:00",2020-04-27 22:13:31,"1_5",55702,4,6.125,8.5,10.5625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.7125,11.661397,0,0,0
"39",40,127,131,"10-P1S5C2FS",10.5,9.9,10.3,10.5,40,274.2,200.61,100,73.59,26.8380744,NA,10,1,5,2,"FS",1461.001708,3333.020366,127,"117_131_4_27",1.716538483,0.980296808,4,27,13,32,131,0,0.88475585,2022-04-27,"13:32:00",2020-04-27 22:13:32,"1_5",55702,4,6.125,8.5,10.5625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.7125,11.661397,0.541393129,0.000370563,0.000162433
"40",41,128,129,"10-P1S5C4AA",10.5,9.5,9.8,9.8,39.5,267,142.09,85,124.91,46.78277154,NA,10,1,5,4,"AA",1382.4932,3040.689934,128,"118_129_4_27",0.212637636,0.989305613,4,27,13,34,129,0,0.88475585,2022-04-27,"13:34:00",2020-04-27 22:13:34,"1_5",55702,4,6.125,8.5,10.5625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.7125,11.661397,0.069419561,5.02e-05,2.28e-05
"41",42,129,127,"10-P1S5C1AA",14,13.4,13.3,12.9,39.9,561,351.36,100,209.64,37.36898396,NA,10,1,5,1,"AA",1961.924966,5627.881281,129,"119_127_4_27",0.640872534,0.998120357,4,27,13,36,127,0,0.88485454,2022-04-27,"13:36:00",2020-04-27 22:13:36,"1_5",55702,4,6.125,8.5,10.5625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.7125,11.661397,0.146450004,7.46e-05,2.6e-05
"42",43,178,132,"10-P1S5C4FS",10.8,10,10.4,9.8,40,302.6,127.39,90,175.21,57.90152016,NA,10,1,5,4,"FS",1453.129177,3300.871401,178,"169_132_4_27",0.970364441,0.998670126,4,27,16,58,132,0,0.88485454,2022-04-27,"16:58:00",2020-04-27 22:16:58,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,11.661397,0.30787513,0.00021187,9.33e-05
"43",44,179,130,"10-P1S5C1FS",10.7,9.7,11.9,10.9,39.1,375.6,250.65,100,124.95,33.26677316,NA,10,1,5,1,"FS",1510.571103,3585.590802,179,"170_130_4_27",1.455216108,0.999657564,4,27,16,59,130,0,0.88485454,2022-04-27,"16:59:00",2020-04-27 22:16:59,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,11.661397,0.445984264,0.000295242,0.000124382
"44",45,180,128,"10-P1S5C2AA",13.5,13.3,13.8,12.9,39.7,389.5,305.89,95,83.61,21.46598203,NA,10,1,5,2,"AA",1949.148478,5577.871118,180,"171_128_4_27",0.244924926,0.945604957,4,27,17,1,128,0,0.88485454,2022-04-27,"17:01:00",2020-04-27 22:17:01,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,11.661397,0.056545038,2.9e-05,1.01e-05
"45",46,181,131,"10-P1S5C2FS",10.5,9.9,10.3,10.5,40,274.2,200.61,100,73.59,26.8380744,NA,10,1,5,2,"FS",1461.001708,3333.020366,181,"172_131_4_27",1.625114274,0.999596024,4,27,17,3,131,0,0.88485454,2022-04-27,"17:03:00",2020-04-27 22:17:03,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,11.661397,0.513630039,0.00035156,0.000154103
"46",47,182,129,"10-P1S5C4AA",10.5,9.5,9.8,9.8,39.5,267,142.09,85,124.91,46.78277154,NA,10,1,5,4,"AA",1382.4932,3040.689934,182,"173_129_4_27",0.444708673,0.99814166,4,27,17,5,129,0,0.88485454,2022-04-27,"17:05:00",2020-04-27 22:17:05,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,11.661397,0.145487152,0.000105235,4.78e-05
"47",48,183,127,"10-P1S5C1AA",14,13.4,13.3,12.9,39.9,561,351.36,100,209.64,37.36898396,NA,10,1,5,1,"AA",1961.924966,5627.881281,183,"174_127_4_27",0.433059471,0.991115738,4,27,17,7,127,0,0.88485454,2022-04-27,"17:07:00",2020-04-27 22:17:07,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,11.661397,0.099157174,5.05e-05,1.76e-05
"48",49,184,589,"01-P1S5C4AA-F",1.3,1,1.4,1.2,38,NA,6.03,99.5,-6.03,NA,NA,1,1,5,4,"AA",289.4539459,84.95416314,184,"175_589+583_4_27",0.136754087,0.978964013,4,27,17,9,589,583,0.88485454,2022-04-27,"17:09:00",2020-04-27 22:17:09,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.306706,0.006340587,2.19e-05,7.46e-05
"49",50,185,204,"01-P1S5C1AA-S",1.4,1.2,1,1.1,41.2,8.315,5.635,98,2.68,32.19479922,NA,1,1,5,1,"AA",279.9757943,79.68558136,185,"176_204+205_4_27",0.045456851,0.811351294,4,27,17,11,204,205,0.88495323,2022-04-27,"17:11:00",2020-04-27 22:17:11,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.306706,0.002116926,7.56e-06,2.66e-05
"50",51,186,596,"01-P1S5C2FS-W",1.1,1.1,1.1,1.2,40,NA,7.99,72,-7.99,NA,NA,1,1,5,2,"FS",299.5142126,93.42887112,186,"177_596+800_4_27",0.113556113,0.932561373,4,27,17,13,596,800,0.88495323,2022-04-27,"17:13:00",2020-04-27 22:17:13,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.306706,0.005229078,1.75e-05,5.6e-05
"51",52,187,586,"01-P1S5C2FS-S",1,1,1.1,1.2,29,NA,6.515,99.5,-6.515,NA,NA,1,1,5,2,"FS",236.6925047,62.83250757,187,"178_586+595_4_27",0.158041553,0.98180342,4,27,17,15,586,595,0.88495323,2022-04-27,"17:15:00",2020-04-27 22:17:15,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.306706,0.007461087,3.15e-05,0.000118746
"52",53,188,582,"01-P1S5C2AA-F",1.2,1.2,1.6,1.4,32.6,NA,6.57,99.5,-6.57,NA,NA,1,1,5,2,"AA",273.3157397,85.30628332,188,"179_582+587_4_27",0,1,4,27,17,17,582,587,0.88495323,2022-04-27,"17:17:00",2020-04-27 22:17:17,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.306706,0.002424965,8.87e-06,2.84e-05
"53",54,189,584,"01-P1S5C1FS-S",0.9,0.9,1.1,1.1,41.4,NA,5.225,99.5,-5.225,NA,NA,1,1,5,1,"FS",270.2292091,67.12405403,189,"180_584+592_4_27",0.09337542,0.964744089,4,27,17,18,584,592,0.88495323,2022-04-27,"17:18:00",2020-04-27 22:17:18,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.306706,0.004393012,1.63e-05,6.54e-05
"54",55,30,564,"01-P1S5C2AA-S",1.1,1.1,1.3,1.4,37.2,20.085,13.155,59,6.93,35.4936796,NA,1,1,5,2,"AA",306.3661379,104.0403857,29,"436_564+561_4_30",0.153195835,0.965755809,4,30,9,45,564,561,0.88268336,2022-04-30,"9:45:00",2020-04-30 22:09:45,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.306706,0.006974789,2.28e-05,6.7e-05
"55",56,2,111,"25-P1S4C4AA",23.5,23.5,22.2,21.2,100,1312.8,645.64,90,667.16,50.81962218,NA,25,1,4,4,"AA",7903.859218,40136.20234,2,"21_111_4_27",0,1,4,27,9,55,111,0,0.8872231,2022-04-27,"9:55:00",2020-04-27 22:09:55,"1_4",55696,4,5.625,8.625,9.875,2748,202,0,94206497,7,"TMS-94206497",1,4,"1_4",284.025,1.5637,0,0,0
"56",57,3,112,"25-P1S4C1FS",23.8,23.9,22.2,23.1,100.4,2361.5,1577.14,88,784.36,33.21448232,NA,25,1,4,1,"FS",8183.229758,42634.96467,3,"22_112_4_27",0.210989011,0.864540338,4,27,9,56,112,0,0.8862362,2022-04-27,"9:56:00",2020-04-27 22:09:56,"1_4",55696,4,5.625,8.625,9.875,2748,202,0,94206497,7,"TMS-94206497",1,4,"1_4",284.025,1.5637,0.012545504,0.000159734,3.07e-05
"57",58,4,113,"25-P1S4C2FS",25.2,22.8,24.2,20.2,101,1966.9,1344.21,77,622.69,31.6584473,NA,25,1,4,2,"FS",8169.405789,42350.14552,4,"23_113_4_27",0.753846154,0.991772392,4,27,9,59,113,0,0.8872231,2022-04-27,"9:59:00",2020-04-27 22:09:59,"1_4",55692,4,5.625,9.25,11.75,2749,202,0,94206497,7,"TMS-94206497",1,4,"1_4",285.9,1.5637,0.044579662,0.000567606,0.000109492
