"","type2","Class_mean","Bark(%)_mean","Waterpercentage_mean","T3_mean","Soil_moist_mean","RespCorrectedArea_mean","Class_sd","Bark(%)_sd","Waterpercentage_sd","T3_sd","Soil_moist_sd","RespCorrectedArea_sd","Class_n","Bark(%)_n","Waterpercentage_n","T3_n","Soil_moist_n","RespCorrectedArea_n","species","Diameter","Class","Month"
"43","FS_10_4_10",NA,74.625,56.8525091321106,283.0359375,2398.175,7.76192266995307e-05,0,11.9629502835705,11.208717048131,0.384205260103276,318.842368215441,6.12189584140599e-05,40,40,40,40,40,40,"FS","10","4","10"
"44","FS_10_4_12",NA,75.3529411764706,57.5742675036559,273.756617647059,2560.70588235294,4.10198639712321e-05,0,9.06877318377869,13.1177171530811,1.66004351909645,347.612529389024,2.71416996152809e-05,17,17,17,17,17,17,"FS","10","4","12"
"45","FS_10_4_7",NA,78.0294117647059,55.1736065616856,295.247426470588,534.470588235294,0.000424272767622687,0,8.62514047006437,11.2447552549789,0.325011354868144,74.8510582885521,0.000230054068485723,34,34,34,34,34,34,"FS","10","4","7"
"46","FS_25_1_10",NA,97.8333333333333,38.1644766656223,283.0625,2406.86666666667,0.00125314975613271,0,3.20649484568466,2.9812890570636,0.366130747326595,322.803103575788,0.00165808135769637,30,30,30,30,30,30,"FS","25","1","10"
"47","FS_25_1_12",NA,98.1034482758621,38.9937755592682,274.048706896552,2494.37931034483,0.0015234457716317,0,3.14352881313577,3.04240388413036,1.57090718511198,388.469102815609,0.00157385517439052,29,29,29,29,29,29,"FS","25","1","12"
"48","FS_25_1_7",NA,97.8809523809524,38.8075128947898,295.349404761905,541.928571428571,0.0019515417261746,0,3.22492110663479,3.10343436523735,0.322917252069455,91.1823134479176,0.00225739432423704,42,42,42,42,42,42,"FS","25","1","7"
"49","FS_25_2_10",NA,90.2758620689655,35.3464820316454,283.137068965517,2422.72413793103,0.00143395400299244,0,10.1520460700721,2.05154654561504,0.396827299701239,307.915328870933,0.00140619731567191,29,29,29,29,29,29,"FS","25","2","10"
"50","FS_25_2_12",NA,90.6296296296296,35.7698142354914,273.846759259259,2482.74074074074,0.00121500763931484,0,9.25347397612273,2.13424547886875,1.41556250962682,388.397258228518,0.00191263039334036,27,27,27,27,27,27,"FS","25","2","12"
"51","FS_25_2_7",NA,90.4,35.6218615787038,295.376785714286,525.057142857143,0.00590812694452264,0,9.13042747533504,2.4562718118227,0.303580696843192,85.7492729714139,0.00252169707261611,35,35,35,35,35,35,"FS","25","2","7"
"52","FS_25_4_10",NA,56.2121212121212,58.2670085587604,283.091287878788,2405.0303030303,0.00163145658714935,0,19.2447356044412,11.6839079497292,0.374002381975683,316.203700647273,0.00236762844877832,33,33,33,33,33,33,"FS","25","4","10"
"53","FS_25_4_12",NA,53.9705882352941,58.1333631740669,274.015808823529,2485.91176470588,0.00140049515354242,0,22.3532050364387,11.3487573742059,1.60816839167433,353.511936076148,0.00226161309362771,34,34,34,34,34,34,"FS","25","4","12"
"54","FS_25_4_7",NA,53.0263157894737,59.3072672532194,295.393421052632,545.921052631579,0.00430899816826937,0,20.7800408944077,11.1030487107172,0.301246521260968,85.7716583881051,0.00321717690145987,38,38,38,38,38,38,"FS","25","4","7"
